_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2885,"2900 BLOCK STAFFORD ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2019,8,3,Sheraden,2,20,42003562500,5,6,1-16,40.4567405354118,-80.0504727005128
2886,"400 BLOCK FORT PITT BLVD PITTSBURGH, PA 15219",1,0,1,0,0,0,2019,8,3,,,,,,2,,,
2887,"1300 BLOCK PAULSON AVE PITTSBURGH, PA 15206",3,0,2,1,0,0,2019,8,3,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4686267994031,-79.9011653372096
2888,"2500 BLOCK PARK HILL DR PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,8,3,East Hills,9,13,42003130600,2,5,3-19,40.4561140005372,-79.8732271471488
2889,"900 BLOCK MT. PLEASANT RD PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,8,3,,,,,,1,,,
2890,"7700 BLOCK BENNETT ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,8,3,Homewood South,9,13,42003130400,2,5,3-17,40.4545900291555,-79.8884301080422
2891,"3100 BLOCK CORDELL PL PITTSBURGH, PA 15203",2,0,1,0,1,0,2019,8,3,Arlington Heights,3,16,42003561600,3,3,4-8,40.4177171713236,-79.963452973864
2892,"100 BLOCK LYTTON AVE PITTSBURGH, PA 15213",1,0,0,1,0,0,2019,8,4,North Oakland,8,4,42003982200,3,4,2-7,40.4461006201583,-79.954633101577
2893,"1200 BLOCK DICKSON ST PITTSBURGH, PA 15212",2,0,2,0,0,0,2019,8,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.470214299751,-80.0280790451795
2894,"7200 BLOCK CHURCHLAND ST PITTSBURGH, PA 15206",8,3,4,1,0,0,2019,8,4,,,,,,5,,,
2895,"2900 BLOCK MULLINS ST PITTSBURGH, PA 15212",2,0,2,0,0,0,2019,8,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4704113247902,-80.0319630518536
2896,"2500 BLOCK SHIRAS AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2019,8,4,Beechview,4,19,42003192000,5,6,4-28,40.4039894844396,-80.026276289923
2897,"FORT DUQUESNE BLVD & 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,8,4,Central Business District,6,2,42003020100,6,2,1-3,40.4446333846098,-80.0008672588076
2898,"100 BLOCK MONTVILLE ST PITTSBURGH, PA 15214",1,0,0,0,0,1,2019,8,4,Summer Hill,1,26,42003261200,1,1,1-15,40.4987873982873,-80.0171059964622
2899,"200 BLOCK HELEN WAY PITTSBURGH, PA 15210",1,0,0,1,0,0,2019,8,4,,,,,,3,,,
2900,"800 BLOCK SELBY WAY PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,8,4,South Side Flats,3,17,42003170200,3,3,4-2,40.4275410159073,-79.9908765149637
2901,"1200 BLOCK FAULKNER ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2019,8,5,Sheraden,2,20,42003202200,5,6,1-16,40.4549078883968,-80.063662285733
2902,"1800 BLOCK SMALLMAN ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,8,5,Strip District,7,2,42003020300,6,2,2-3,40.4509619871853,-79.9854046177452
2903,"MEADVILLE ST & CEMETERY ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,8,5,Fineview,1,25,42003250900,1,1,1-10,40.4625179384924,-80.0057260291446
2904,"7900 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,8,5,East Hills,9,13,42003130600,2,5,3-17,40.4550804207096,-79.8859093825126
2905,"SENECA ST & 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2019,8,5,Bluff,6,1,42003010300,3,4,2-1,40.4381549179206,-79.975890317082
2906,"100 BLOCK OAK HILL DR PITTSBURGH, PA 15213",2,0,1,0,1,0,2019,8,5,Terrace Village,6,4,42003040200,3,2,2-10,40.4396931623976,-79.9677837360095
2907,"300 BLOCK EAST OHIO ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,8,5,,,,42003563900,,1,,40.4125315408834,-79.8427960425285
2908,"2600 BLOCK LIBRARY RD PITTSBURGH, PA 15234",1,0,1,0,0,0,2019,8,5,Overbrook,4,32,42003320700,5,3,4-25,40.380836884642,-80.0000675504602
