DEC_LAT,DEC_LONG
40.2854,-79.5892
40.2582,-79.4784
40.3292,-79.4892
40.3028,-79.3365
40.1872,-79.5442
40.2269,-79.427
40.1763,-79.5005
40.2234,-79.6056
40.2381,-79.6239
40.3968,-79.6931
40.3923,-79.6883
40.5077,-79.682
40.34,-79.7537
40.3207,-79.3386
40.1779,-79.6295
40.4181,-79.6255
40.2737,-79.5554
40.1296,-79.8678
40.3193,-79.452
40.3771,-79.6241
40.5987,-79.568
40.395,-79.6336
40.5877,-79.7466
40.2888,-79.448
40.3843,-79.5706
40.4267,-79.5765
40.4888,-79.4614
40.1294,-79.5535
40.2052,-79.3938
40.1471,-79.53
40.3401,-79.7544
40.3665,-79.3156
40.3311,-79.6885
40.3186,-79.6787
40.4067,-79.7184
40.3463,-79.6568
40.3382,-79.6259
40.3414,-79.7579
40.3055,-79.5443
40.2758,-79.5546
40.3551,-79.6511
40.4102,-79.5725
40.2415,-79.5813
40.5754,-79.7422
40.3256,-79.7136
40.3362,-79.5526
40.216,-79.6132
40.3997,-79.6895
40.5795,-79.7492
40.367,-79.4651
40.4122,-79.3834
40.4838,-79.4545
40.4002,-79.5095
40.4029,-79.5228
40.4329,-79.5802
40.4894,-79.5985
40.1774,-79.8486
40.2879,-79.5796
40.2962,-79.4768
40.3223,-79.5362
40.2637,-79.5648
40.5998,-79.5673
40.4273,-79.6937
40.5683,-79.733
40.3551,-79.6511
40.4044,-79.4227
